trabajo_nombre,empresa,lugar_trabajo,tipo_empleo,link_empleo
Cocinero/a con experiencia para turno mañana en Palermo,Pro-Selection Capital Humano,"Capital Federal, Palermo",Ahora,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cocineroa-con-experiencia-para-turno-manana-en-palermo-en-palermo-E7157FF2FBBEB9F661373E686DCF3405#lc=ListOffers-Score-0
Ref: 18797 Developer SSR .NET,ADN - Recursos Humanos,,Ahora,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-18797-developer-ssr-net-remoto-en-recoleta-E4A10C42C5CBF38161373E686DCF3405#lc=ListOffers-Score-1
"Administrativo Contable / Monte Castro, CABA Ref. 18773",ADN - Recursos Humanos,,Hace 4 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrativo-contable-monte-castro-caba-ref-18773-en-monte-castro-486CCD6EDF0E02AE61373E686DCF3405#lc=ListOffers-Score-2
Operario de Producción Alimenticia,ADN - Recursos Humanos,,Hace 7 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-produccion-alimenticia-mataderos-caba-en-mataderos-1FCA276796DDB1DC61373E686DCF3405#lc=ListOffers-Score-3
oficial mecánico/a,Importante empresa del sector,"Capital Federal, Liniers",Hace 10 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-oficial-mecanicoa-con-experiencia-en-liniers-D20F9FF7AC10132961373E686DCF3405#lc=ListOffers-Score-4
Médico/a Cardiólogo/a. Importante y Tradicional Grupo de Salud. CABA,PLC - Proyecto Laboral Consultores,,Hace 13 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-medicoa-cardiologoa-importante-y-tradicional-grupo-de-salud-caba-importante-grupo-de-salud-caba-en-recoleta-07ECB783BEB14A5761373E686DCF3405#lc=ListOffers-Score-5
"Analista Contable con inglés avanzado y orientación pago a proveedores / Belgrano, CABA Ref. 18756",ADN - Recursos Humanos,,Hace 16 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-con-ingles-avanzado-y-orientacion-pago-a-proveedores-belgrano-caba-ref-18756-adn-recursos-humanos-en-belgrano-4186D95A59C0311F61373E686DCF3405#lc=ListOffers-Score-6
Analista DevOps SSr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 16 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-devops-ssr-zona-microcentro-caba-en-retiro-84FC16F37EF3092761373E686DCF3405#lc=ListOffers-Score-7
Analista de Integraciones Sr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 17 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-integraciones-sr-zona-microcentro-caba-en-retiro-8BF821C3AA8621B161373E686DCF3405#lc=ListOffers-Score-8
Analista Programador .Net SSr,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 18 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-net-ssr-zona-microcentro-caba-en-retiro-34C7DC036217D08C61373E686DCF3405#lc=ListOffers-Score-9
Tester Automation Java SSr.,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 18 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tester-automation-java-ssr-zona-microcentro-caba-en-retiro-F5694BA671E7276D61373E686DCF3405#lc=ListOffers-Score-10
Analista Programador SQL Sr,Kaizen Recursos Humanos,"Capital Federal, Retiro",Hace 20 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programador-sql-sr-zona-microcentro--urgente-en-retiro-E57EBF0141D8EEAC61373E686DCF3405#lc=ListOffers-Score-11
Asesores comerciales,Juan Federico Pantanetti,"Capital Federal, Palermo",Hace 20 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesores-comerciales-excelente-propuesta-pronta-incorporacion-en-palermo-11D99EF99E004C0661373E686DCF3405#lc=ListOffers-Score-12
Asistente Académico,TOP ENGLISH,"Capital Federal, Monserrat",Hace 20 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-academico-tardes-y-noches-en-monserrat-5C17B85B4BD14B5B61373E686DCF3405#lc=ListOffers-Score-13
Generador y Redactor de Contenido audiovisual,PIDEWEB,"Capital Federal, Floresta",Hace 20 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-generador-y-redactor-de-contenido-audiovisual-en-floresta-FB15A09C57D219B761373E686DCF3405#lc=ListOffers-Score-14
vendedor/a telefónico administrativo,AMIL21 SRL,"Capital Federal, Balvanera",Hace 20 minutos,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedora-telefonico-administrativo-9-a-17-hs-en-balvanera-0F0C29A334D642D661373E686DCF3405#lc=ListOffers-Score-15
